Number,Title,Description,Location,Time,Term,Company,Category,Source,Salary
93,Accounts & Audit Senior/Manager,"We are currently recruiting for a Senior/ Manager for one of the regions premier firms of accountants in the South Leicestershire area.This is a perfect opportunity for an ACA/ ACCA Qualified with proven experience from working in an accountancy practice to make the move to No.**** to Partner with excellent prospects available This is a vibrant, dynamic and highly professional firm who are continually looking to expand and develop their service. With a network of offices throughout the Midlands they are a highly reputable firm. You will be managing a large team within the department and leading in the management of larger clients. The main duties will be: Client facing responsibility meeting and managing clients and providing an exemplary level of service Reviewing work Dealing with client queries Assisting with corporate finance to larger clients Managing and Training Staff /Liasing with clients and fronting the department Assisting in recruitment and selection of junior staff Assisting in marketing and promoting the firm Ideally you will be ACA/ACCA qualified with PQE experience Experience in public practice in audit Applicants must have proven accountancy experience from working in a firm of accountants. If you are interested, please don’t hesitate to contact jorekroot.co or call Jo on **** **** This job was originally posted as www.totaljobs.com/JobSeeking/AccountsAuditSeniorManager_job****",Coalville,,permanent,Rekroot,Accounting & Finance Jobs,totaljobs.com,35000
94,CPCS Agricultural Tractor and bowser operator,CPCS Agricultural tractor operator required for on going up coming work starting ****/****/**** in Liskeard.,Liskeard,full_time,,Bespoke Resources and Recruitment,Manufacturing Jobs,Jobcentre Plus,21600
95,Professional Indemnity Account Handler,"Professional Indemnity Account Handler, Exeter One of the South Wests leading independent brokers is seeking an experienced professional indemnity account handler to join their growing professions team in Exeter. This is an exceptional opportunity to join a company that truly value their staff, fully support personal development and have an excellent reputation for providing high levels of service and independent advice to their clients which are based across the UK. The role will involve the handling of a broad spectrum of PI renewals each month, retaining businesses in a focused and pro active manner in order to protect income levels wherever possible. The position also includes new business generation and you would be expected to cross and upsell to existing clients to increase branch income. Being a natural communicator you will enjoy building relationships with clients and maintaining strong relationships with insurers. Whilst it is expected that you will work on your own initiative our client have a team focused approach, working towards branch targets and so you will also have excellent interpersonal skills and enjoy working with others. Skills and Experience required: It is essential that you have a solid background in underwriting or broking Professional Indemnity insurance, ideally across multiple industries. You will also have gained experience of working within a broking environment. Communication, negotiation and sales skills are an essential requirement for this position, as it is expected that you will be able to demonstrate an ability to develop and maintain relationships with clients, insurers and internal teams. Ideally you will have made some progress towards to ACII qualifications and hold at least the CertCII qualification. Please visit www.idexconsulting.com for further opportunities. Foot Note: If your application is successful we will contact you to discuss the opportunity in more detail within **** hours of receiving your application. If your application is unsuccessful, the information supplied may still be retained for use in connection with future vacancies. Due to the overwhelming application response we receive through various sources, should you not hear from us within one week then please assume your application has been unsuccessful. This job was originally posted as www.totaljobs.com/JobSeeking/ProfessionalIndemnityAccountHandler_job****",Exeter,,permanent,Idex Consulting,Accounting & Finance Jobs,totaljobs.com,24000
96,Key Stage 1 Teacher,"Simply Education currently work in conjunction with a large number of Primary Lower Schools within the Bedford. Having built up excellent relationships over time these schools call us on a frequent basis requesting high calibre Key Stage One Teachers for daily, short and long term assignments. As we cover both the independent and state maintained sectors, there is no telling where the next assignment will be. Many of our bookings are days or indeed weeks in advance so we can tailor work to your own individual requirements; be it the odd day a week or something longer term for five days a week, it is entirely up to you. As a KS 1 Teacher you will need:  To be a qualified Teacher holding a P.G.C.E, Bachelor of Education or hold a BA with QTS, NQTs are welcome to apply  Have prior experience within a classroom environment  Be able to take responsibility for the progress of a class of key stage one age pupils  Be able to motivate students  Be able to maintain discipline  Have a creative approach to teaching  Be outgoing and able to think on your feet If you have the above skill set and personality traits and are looking for the next post in your career, then apply now or give us a call to discuss your exacting requirements in more detail. You will be part of the Simply Education family which means that you can utilise the numerous benefits that supply Teachers receive as a member of the team. Registration involves an enhanced police disclosure, identity checks and professional references. Please only apply if you are confident that you will pass this procedure. In return, we will offer candidates leading industry rates, a no hassle payment scheme, a personal consultant for a one to one service  and a unique referral system. For more information please do not hesitate to call and ask for Stephen Robinson or simply hit apply now.",Bedfordshire,part_time,contract,SIMPLY EDUCATION,Teaching Jobs,jobs.guardian.co.uk,29172
97,Customer Service Advisor / First Line Call Handler / Contact Centre,An opportunity has arisen for a Customer Service Agent / First Line Call Handler to join an accident management company in the Stockport area paying a salary of **** to **** per annum. The Role As a Customer Service Agent / First Line Call Handler you are the first point of contact for clients and therefore your job role will include:  Efficiently and accurately take incoming calls to register new claims on behalf of the companies clients  Swiftly and efficiently answer any queries  Advise customers on any other accident services that may be available following registration of the new claim  Demonstrate knowledge of insurance and the terminology used  Promote the corporate image of the company and clients at all times  Liaise with other company departments and employees as appropriate to minimise the inconvenience to customers  Ensure you correctly log all calls  Identify and resolve complicated problems efficiently in the event of any specialist claims Essential Skills Experience The successful candidate will have the following skills and experience:  GCSE English and Maths qualifications  Previous experience of working within a contact centre / call centre environment  Strong communication skills with a positive and friendly approach when dealing with customers  Knowledge of Microsoft Office Software About The Benefits This role is evening work working hours of 10.30pm  9am on a 4 days on and 4 days off pattern. This role is paying between **** and **** per annum. To Apply If this sounds like a job you will LOVE then email your CV to gemma.chapmanjobwise.co.uk This job was originally posted as www.totaljobs.com/JobSeeking/CustomerServiceAdvisorFirstLineCallHandlerContactCentre_job****,UK,,permanent,Jobwise,Customer Services Jobs,totaljobs.com,16500
98,Catering Manager  YHA (England Wales)  Grasmere,"Position Description Catering Manager  YHA Grasmere  Live in / out  Permanent  Full Time Hours Start Date: ****/****/2013 Closing Date: ****/****/2013 We are looking for a talented individual to join our team as Catering Manager. This vital role is responsible for the catering function within the hostel, both front and back of house. Taking ownership of the catering budget, it will be your responsibility to drive efficiency and increase profit margins. You will also work closely with Team Members to ensure they are developed, trained and following regulations to deliver excellent experiences to our customers, making their stay one to remember. Catering Manager duties include:  Responsibility for Food Hygiene standards and regulations  Control of purchasing, invoicing, stock control and menu costs  Managing the effective delivery of the food and beverage service to consistently deliver a positive experience to all customers  Reviewing and responding to customer feedback to improve our customers experience If you re looking for an exciting challenge outside the standard ninetofive, then working for YHA could be the job for you. Required Experience In order to be a great Catering Manager we are looking for people who can:  Lead, develop and mentor others  Demonstrate experience of food and beverage or catering management  Effectively plan and deliver menus that increase profits for the business  Show a good understanding of YHA, the hospitality industry and current tourist industry standards  Put the customer at the heart of everything we do  Demonstrate they have the Spirit of YHA: o Sustainability  Positively caring about your working environment and taking actions to protect it o Passion  To be bold and proud of working for YHA and delivering our Charitable Objective o Innovation  Always looking for ways to improve o Responsibility  Taking ownership of your development and performing to the best of your ability o Inclusivity  Encouraging participation from all o Trust  Being reliable, resourceful and trustworthy with everyone you meet Salary & Benefits Our award winning benefits package includes:  29 Days Holiday  Free Simply Health Cash Plan  Exclusive Retail Discounts  Free YHA Membership  Free Hostel Stays If you accept the role on a Live In basis a deduction of **** per week is applicable for your accommodation. Employer Description YHA is a charity with a clear mission: to inspire all, especially young people to broaden their horizons gaining knowledge and independence through new experiences of adventure and discovery. We have a network of diverse hostels throughout England and Wales  often situated in exceptional locations. These welcoming and sociable spaces are open to everyone. We have strong beliefs and a passion for what we do. By encouraging a spirit of adventure, we aim to inspire people of all ages to discover the world around us. Site Description YHA Grasmere is a stunning Victorian mansion set in one of Lakelands most beautiful villages. Hikers, ramblers, nature lovers come to stay to enjoy spectacular views of the Rothay Valley and surrounding fells. We offer guests **** star accommodation and a fully licenced restaurant",Grange-Over-Sands,,permanent,Youth Hostel Association,Hospitality & Catering Jobs,cv-library.co.uk,17798
99,Finance Manager,"Sturton by Stow Primary School, School Lane, Sturton by Stow, Lincoln, LN**** ****BY Finance Manager Grade **** Pts **** – **** ****  **** pro rata (39 weeks per year) Initially for 10 hours per week (hours and days per week are negotiable, term time only). Required ****5 February 2013 although this is flexible for the right candidate. We are looking for someone to provide efficient financial administration, advising and supporting the Headteacher in the effective financial running of the school. The main responsibilities of the post will be the ordering and payment of goods and services, day to day management of all financial matters, monitoring of budgets and regular reporting to the Headteacher and Governors. We are keen to appoint someone who is organised, flexible and with excellent communication skills. You will need to be able to work as part of a team and also independently, and be adaptable to a range of different duties. You will also need to have a good working knowledge of Microsoft Word, Excel and Publisher and experience with SAP would be an advantage. Ideally, you will have previous experience in a similar position although this is not essential. For the right candidate, there will be potential for career progression and scope to develop the role further in the future. Visits to the school, by appointment, are warmly welcomed. To obtain further details, please contact Helen Barker, Headteacher, on (****) **** or by email . Closing date for applications is **** noon, Friday 8 February 2013. Interviews will take place on Thursday 14 February 2013. Sturton by Stow School is committed to safeguarding and promoting the welfare of children and young people and expects all staff and volunteers to share this commitment. The successful candidate will be required to undertake an Enhanced Disclosure via the DBS and satisfactory reference checks.",Lincoln,part_time,,Lincolnshire County Council,Accounting & Finance Jobs,Jobcentre Plus,20056
100,Security Officer,"We are currently recuiting for a professional security officers to join one of our prestigious contracts working in Wellingborough Northants. Applicant to be PC Literate and have good written and verbal communication skills as you will be dealing with visitors/contractors and senior staff. You will be self motivated and able to work on your own. Shifts will be days, nights and weekends. Main duties include patrols of a large site, gate access, pass checking, Applicants must hold a SIA licence. Essential Experience Verbal communication skills Customer Service Skills SIA Licance Incident Handling Report Writing Full Driving Licence Own Transport Desirable Experience Previous security experience.",Wellingborough,full_time,,VSG Security Limited,Other/General Jobs,Jobcentre Plus,14188
101,"LOGISTICS COORDINATOR, ANDOVER, HANTS  ****K  BENEFITS","LOGISTICS COORDINATOR, ANDOVER, HANTS  ****K  BENEFITS My client is a leading supplier to the Aerospace Industry and due to an increased order book, they are looking for an experienced Logistics Coordinator to join their team in Andover. Reporting to the Production Manager, you ll be responsible for the receipt and dispatch of high value goods to both UK based and International customers. You ll also be responsible for preparing SAD C**** quarterly and annual returns in accordance with HMRC policies. To be considered for this position, you ll need to be educated to ONC level or equivalent in Aerospace Engineering and have extensive knowledge and experience of working within a lean manufacturing / process environment. A thorough understanding of Six Sigma and Continuous Improvement is also essential coupled with the ability to prioritise world loads and work to strict KPIs. This is an excellent opportunity to join this leading aerospace company as a Logistics Coordinator offering a salary of ****  benefits. To apply for the role, please forward your CV to Mike Buick, ALECTO Recruitment. or call (Apply online only) in strict confidence for further information. Alecto Recruitment Limited is acting as an Employment Business in relation to this vacancy. If your experience matches please forward your CV immediately. We thank all applicants who respond, but only those short listed will be contacted. For more information about the positions we are currently recruiting for, please take a look at (url removed) or follow us on Twitter alectorecruit",Andover,,permanent,Alecto Recruitment,Engineering Jobs,cv-library.co.uk,18000
102,Mobile Smart Repair Technician  Volume Dealer,"Job Details Smart Repair Technician  Manufacturer Owned Dealer Group Location:Surrey Salary: **** to **** Vacancy Reference:**** This vacancy is being handled by Caroline Brown, telephone number (Apply online only). Job Description To carry out any general cosmetic repairs to brand vehicles to the highest standard to ensure customer satisfaction. Detailed Responsibilities  To carry out wheel refurbishments in line with our process  To carry out cosmetic paint touch ups in line with our process.  To carry out local paintwork repairs in line with our process  To carry out seat fabric repairs in line with our process  To carry out small, minor dent removals  To maintain equipment on a regular basis and report problems immediately to the Service Manager  To be available to attend external training courses as required by management  To maintain the laid down level of housekeeping  To ensure that Health and Safety, COSHH and Fire regulations are observed at all times  Any other reasonable duties as required. Requirements You must be a fully qualified smart repairer and have a proven track in achieving set targets and excellent workmanship. In return we will offer an attractive salary package. Additional Information If you have the relevant experience, please forward your details to (url removed) or contact Caroline Brown on (Apply online only) for more information. As the UK s largest and most established Motor Recruitment Specialist, our extensive portfolio of Motor Trade vacancies consist entirely of genuine client requirements. John Gibson Associates are dedicated to assisting you to achieve your automotive careers aspiration Our services are strictly confidential and there are no candidate or registration fees",Surrey,,permanent,John Gibson Associates,Other/General Jobs,cv-library.co.uk,25500
103,Casual Children and Family Support Worker,"We are looking for Casual Children and Family Support Workers to work on an as and when basis to provide support to Children and Young People and their families. Work is available across all areas of the Northumberland area. Core Children s Services provides a range of integrated services that are locally based to children and their families. Working in partnership with Local Authorities, Trusts, organisations and families throughout the UK, our services for children and families are designed to be flexible and meet the needs of our customers , while maintaining the ethos of a truly child centred organisation. Duties will include working directly with and supporting children and young people and their families on an individual or group basis in a flexible and creative way through a variety of activities and events, supervising contact with family members, providing transport and or escorting children and young people where necessary and appropriate. Applicants should have experience of working with children with complex behavioural issues and/or with disabled young people and their families. The required hours are flexible but will include evening and weekend work. A full driving licence, good driving record and use of a comprehensively business insured vehicle are essential",Northumberland,,contract,Outcomes UK,Social work Jobs,cv-library.co.uk,15590
104,Commis Chef,"A Commis Chef with Hilton Hotels and Resorts is responsible for preparing and presenting high quality dishes to deliver an excellent Guest and Member experience while consistently contributing to departmental targets. What will it be like to work for this Hilton Brand? One of the most recognized names in the industry, Hilton Hotels s savvy global travelers, we shape experiences in which every Guest feels cared for, valued, and respected. If you understand the importance of upholding a brand s reputation and value the effort it takes to provide a globally recognized hospitality experience, you may be just the person we are looking for to work as a Team Member with Hilton Hotels s with Hilton Hotels & Resorts where we promise an exceptional Guest experience every time. What will I be doing? As a Commis Chef, you are responsible for preparing and presenting high quality dishes to deliver an excellent Guest and Member experience. A Commis Chef would also be required to prepare all misenplace and contribute to departmental targets. Specifically, you will be responsible for performing the following tasks to the highest standards: Prepare and present high quality dishes within company guidelines Keep all working areas clean and tidy and ensure no cross contamination Prepare all misenplace for all relevant menus Assist other departments wherever necessary and maintain good working relationships Report maintenance, hygiene and hazard issues Comply with hotel security, fire regulations and all health and safety and food safety legislation Awareness departmental targets and strive to achieve them as part of the team Be environmentally aware What are we looking for? A Commis Chef serving Hilton Worldwide Brand hotels and vacations are always working on behalf of our Guests and working with other Team Members. To successfully fill this role, you should maintain the attitude, behaviours, skills, and values that follow: NVQ Level 1 Positive attitude Good communication skills Ability to work under pressure Ability to work on own or in teams It would be advantageous in this position for you to demonstrate the following capabilities and distinctions: NVQ Level 2 Previous kitchen experience in similar role Basic food hygiene What benefits will I receive? Your benefits will include a competitive starting salary and holiday entitlement. As an employee you will become a member of the The Hilton Club which provides reduced hotel room rates in our hotels worldwide, plus discounts on products and services offered by Hilton Worldwide and its partners. We look forward to explaining in detail the range of excellent benefits that you would expect from a global hotel organization like Hilton Worldwide.which provides reduced hotel room rates in our hotels worldwide, plus discounts on products and services offered by Hilton Worldwide and its partners. We look forward to explaining in detail the range of excellent benefits that you would expect from a global hotel organization like Hilton Worldwide. Learn more now about Hilton Hotels & Resorts  the global leader of hospitality. More than **** locations and nearly **** rooms across six continents Innovations include: pioneering the airport hotel concept, becoming the first coasttocoast hotel chain in the US, and the first to install televisions in Guest ooms Flagship brand of Hilton Worldwide with properties in more than 77 countries More than **** worldclass resorts and more nearly **** fullservice spas Harris Poll EquiTrend, Brand of the Year  Full Service Hotel for 2010 and 2011 Number one global brand awareness in the hospitality industry",Northampton,,,Hilton UK Ireland,Hospitality & Catering Jobs,jobs.catererandhotelkeeper.com,12999
105,"Sales Manager, Mobile Apps,","Sales Manager, Mobile Apps, Mobile Marketing Platforms / Smartphone Apps, Mobile Apps ****k basic, ****K OTE, South East or North West. This is a Sales role for a leading multinational provider of Mobile Marketing / Mobile Apps and sector specific solutions for organisations of all sizes, and has been a pioneer of enabling innovative mobile business solutions across multiple sectors and geographies for over 12 years. Due to past success and a number of large accounts they are now seeking to grow the sales team further in order to widen their footprint in the Digital Media and Retail Market space. Reporting directly to the Sales Director the successful applicant will be Selling Mobile Marketing Platforms / Smartphone Apps into the Digital Media and Retail Market space. The successful candidate will need to be self motivated, self confident and well organized and located within the South East or North West Ideally you will have several years of Mobile Apps / Mobile Marketing Platforms Experience and a proven track record of over achieving on target. The fortunate individual will enjoy a **** – ****K (neg) base salary with a lucrative bonus structure based on performance. This is a very rewarding company to work for with opportunities for hard workers and over achievers. If you have the necessary sales skills then apply today by emailing your CV to marlonscromwellandclark.co.uk for an immediate face to face interview. The Job will not be around for too long. Due to the volume of response only suitable applicants will get a reply. Cromwell Clark currently have over **** hand picked Sales vacancies that cover all industries at all levels. For Further Career advice, please don’t hesitate in making contact with the sales recruitment specialists or log on to our website at www.cromwellandclark.com to view all of our live Sales opportunities. This job was originally posted as www.totaljobs.com/JobSeeking/SalesManagerMobileApps_job****",South East London,,permanent,Cromwell and Clark,Sales Jobs,totaljobs.com,50000
106,Payroll Team Leader x **** (****mth FTC),"Salary ****  **** (day rates also considered) Contract duration: 6months Start date: ASAP Based in Manchester City Centre, you will be leading a team of ten to twelve within a shared service centre where a complex payroll service is provided to a workforce of **** With experience in a similar role, you will also have excellent communication and organisational skills, commercial awareness and excellent attention to detail. This is a great opportunity to work within a professional environment for a leading organisation. THE ROLE To lead a team in providing a managed payroll service Provide advice, support and resolve escalated queries relating to payroll processes, policies and systems. Manage and operate the payroll cycle, consistently meeting service and corporate KPIs, principally: oAssess and apply earnings, benefit and deduction against statutory and contractual requirements and establish robust payroll processes and standard operating procedures. oManage absence and specialist adjustments against corporate and statutory policies. oCreate and apply controls, checks and audit processes to maintain payroll accuracy oCarry out statutory and corporate year end requirements. oMaintain constructive communication channels between payroll teams, HRSS and its clients and customers. Lead a team of administrators to achieve key performance objectives and targets. Manage, develop and coach team members. Conducts regular **** and provides constructive and honest feedback in a timely manner. Be actively involved in continuous improvement projects aligned to payroll and your remit as required. Undertake all work activities consistent with: Relevant legislation and corporate activities The organisations and HRSS procedures Centre of Excellence principles Corporate risk assessments Management of your own and teams role in relation to health, safety and security. ABOUT YOU GCSE AC Maths, English (or equivalent) Institute of Payroll Professionals (IPP) foundation level certificate (desirable) Extensive experience of supporting a large managed payroll service Experience of using integrated HR and Payroll solutions Proven analytical skills Proficient in customer relationship management Proficient in Microsoft office,(Excel and Word) Proficient in PAYE Employment legislation governing payroll policies and processes For a confidential chat, please contact Wendy Lawrence at Ably Resources on **** **** **** or apply by sending your CV using the link. N.B Deadline for applications 31st Jan 2013",Manchester,,contract,Ably Resources Ltd,Accounting & Finance Jobs,jobsite.co.uk,36500
107,Reader/ Senior Lecturer in Economics,"Faculty of Social Sciences Job Reference Number: UOS**** Salary: Grade **** **** to **** per annum, with potential to progress to **** Closing Date: 28 February 201**** Applications are invited from candidates who make a leading contribution to research and teaching in any area of economics. You will demonstrate innovative research and scholarship of an international reputation, with a strong record of research publications. You will be expected to provide research leadership within your specialist areas and to contribute to the academic leadership within the department, the Faculty of Social Sciences and the wider University and will play a significant part in influencing academic strategy. This position is one of a number of posts currently being advertised as part of the continued expansion of the Department of Economics at the University of Sheffield. This expansion is built on our recent successes in attracting research grant income, and growth in student numbers at postgraduate level, including an increase in the number of PhD students. The Department of Economics offers single honours undergraduate degree, dual honours undergraduate degrees and postgraduate MSc degree programmes. The department also has a thriving PhD programme and contributes to the Economics Pathway in the ESRC White Rose Doctoral Training Centre. The Research Assessment Exercise (RAE) **** rated 95% of the Department of Economics research activity of international standard, with 70% in the top two categories (i.e. 3 and ****). This post is available from September 2013 although an earlier or later start is negotiable by mutual agreement.",Northern Ireland,,,University of Sheffield,Teaching Jobs,Jobs Ac,54501
108,Contracts Maintenance Manager,"We are looking to recruit an experienced Contracts Maintenance Manager to cover reactive maintenance, who will be in charge of a very busy help desk, organizing day to day work for a team over **** workmen. Our contracts are anything from Building work, hospitals, public houses, and many more all across the UK and Ireland. Applicants for this role would be responsible for the delivery of day to day maintenance across the UK and for the management of supervisors and operatives across various contracts. The successful applicant will ensure that service is delivered on time, within budget and to standard, and will be responsible for the ongoing supervision and development of all operational staff including disciplinary procedures where necessary. Previous experience carrying out reactive maintenance is essential, as are clientfacing skills as the post holder will be required to liaise at all levels as and when required, ensuring that information and updates are provided regularly. You must also have proven experience of managing staff at a senior level. Applicants must have access to a vehicle and a full, clean driving license. This position will be permanent for the right candidate, so contact us now with your current CV to apply. This is an urgent requirement, so we will aim to get back to candidates of interest as soon as possible NO AGENCIES Contracts Maintenance Manager / Contracts Maintenance Manager Contracts Maintenance Manager / Contracts Maintenance Manager This job was originally posted as www.totaljobs.com/JobSeeking/ContractsMaintenanceManager_job****",Wales,,permanent,Anonymous Recruiter,Engineering Jobs,totaljobs.com,25000
109,National Account Manager  Branded Foods,"National Account Manager  Branded Foods Location: Midlands, South East The Role: An excellent National Account Management position has been created with a market leading provider of an instantly recognizable leading food brand. This key, strategic role will involve managing ongoing existing relationships with the UK's major grocer's, being fully responsible for budgets, forecasting and P L, developing and implementing sales strategies, introducing new product lines and ultimately increasing turnover and profitability within the accounts. Successful applicants will need recent National Account Management experience in selling food into the major grocers. Our Client: Our client is a market leading provider of leading food brands in their category. Due to continued success and ambitious growth plans they are looking to recruit a new National Account Manager to their team. Essential Requirements: Recent National Account Management experience selling food into the major grocers. Full P L experience. Proven track record of success. Superb Account Management skills. Excellent written and verbal communication skills. Analytical. Ability to influence. Commercial aware. Highly personable and positive. Package: Basic Salary: ****  **** Bonus: ****K OTE Benefits: Car or Allowance, Exec Benefits Job Ref: ****AC PLEASE NOTE: Due to the large volume of applications we receive we are unable to discuss individual applications. If you have not heard from us within 7 days, your application has been unsuccessful. Keep up to date with all our latest vacancies by following us on FACEBOOK, TWITTER, GOOGLE or LINKEDIN. Check out our website at www.ashfordknight.co.uk for the links.",South Normanton,full_time,permanent,Ashford Knight,Retail Jobs,jobs.thegrocer.co.uk,42500
110,"Chef de Partie, Luxury Five Star Hotel, London","JOB TITLE Commis Chef, Luxury Five Star Hotel, London JOB LOCATION London SALARY ON OFFER **** per annum WHAT’S NEEDED A Strong individual to work in the kitchen team of a luxury five star hotel EMPLOYER INFORMATION Five Star Hotel Internaitonal Group Fine Dining Restaurant WHAT THE JOBS ENTAILS Shift patterns as required Five days from seven Assisting the team with the main kitchen operation Hands on approach managing the business CANDIDATE REQUIREMENTS Experienced as a Commis Chef in a four / five star hotel operation Experienced in the London Market Strong selfstarter Team Player The drive and ambition to succeed LEGAL REQUIREMENTS In line with present UK working requirements all candidates are required to provide proof of eligibility to work within the UK. SpaYse’s undertaking is as a recruitment agent in this role and are bound by the requirements requested by our client SPAYSE CONTACT DETAILS SpaYse Ltd Second Floor **** Threadneedle Street London EC****R ****AY **** **** **** infospayse.co.uk www.spayse.co.uk This job was originally posted as www.caterer.com/JobSeeking/ChefdePartieLuxuryFiveStarHotelLondon_job****",South East London,,,SpaYse,Hospitality & Catering Jobs,caterer.com,16000
111,Senior Staff Nurse  Ashford,"Site or Unit :Huntercombe Hothfield Manor Acquired Brain Injury CentreAddress :Bethersden Road HothfieldKent TN**** ****ELContracted Weekly Hours : ****Hothfield Manor Acquired Brain Injury Centre provides care and rehabilitation to adults with an acquired brain injury and other neurological disorders. The centre offers a range of services from post acute rehabilitation provided by specialist nurses and a multi disciplinary team to long term residential facilities. The centre is situated in the small village of Hothfield. Ashford is **** miles away and offers all the usual amenities of a major town.In your role as a Senior Staff Nurse you will work closely with the Centre Manager/Unit Manager and deputise in their absence. You have responsibility for leading your shift to ensure we deliver excellent standards of care; promoting independence and dignity and positively enhancing the lives of individuals in our care. This exciting and dynamic role will place you at the heart of a clinical team, working closely with patients and other healthcare professionals to deliver the best care and rehabilitation for patients. So as a Senior Staff Nurse what do you need to do to make this happen?Supervise and lead in the person's care and to plan, implement and evaluate their care plans with the staff involved in their care delivery Work with Centre Manager to ensure occupancy levels are achieved and maintained Identify their care needs in conjunction with the person, their family and the team Promote high standards of nursing care for you and your team, by ensuring all staff are supervised appropriately and the shift runs in a smooth efficient manner Ensure effective communication systems are established and maintained between clients, families, staff and external agencies Work closely with the Centre Manager in the identification and recruitment of new staff Work collaboratively with the team through effective leadership and motivational skills Contribute in clinical reviews and nursing reviews ensuring accurate feedback on the person's care Encourage independence and personal choice and help to provide an environment which is conducive to patients with varied and complex needs realising their potential to live as independently as they can find possible Ensure that the team's skill and knowledge levels are able to meet the changing needs of the business.",Ashford,part_time,,Huntercombe,Healthcare & Nursing Jobs,staffnurse.com,27340
112,Sales Manager,Sales Manager  New Cars The Company. A fantastic opportunity has arisen for a Sales manager to join an enviable motor dealer group in the Kent area. Our client is part of a medium sized motor dealer group.They are a large Mazda Dealership offering new and used cars from their flagship premises based within a busy retail park just outside the city centre. Their Business has grown over the last 5 years with the addition of several brands to our portfolio. Their philosophy is to promote from within and this culture offers those that show the right potential a genuine career opportunity. Applicant CV s with achievements and performance against targets will receive priority. The Role. New Car Sales Manager  Job Responsibilities  Reporting to General Sales Manager Managing the New Car Sales drive in line with and exceeding business targets. Motivating and energising the sales team. Taking overall responsibility for F Ensuring that dealership standards are upheld in line with CSI measures. Keeping records and reports to measure the department performance. Liaising with our Ford partners. Fostering a positive cando attitude and an enjoyable atmosphere. Maintaining Franchise standards The Skills. With at least 2 years experience as a New Car Sales Manager you will posses:  A solid understanding of the new car sales ethos. A proven record of consistent on target sales figures. The ability to think of and open new routes to sales. Strong interpersonal skills Clear thinking and a positive outlook. Good time management Good organisation skills and accuracy in your work . The Rewards. Basic Salary: ****  **** OTE Car Plus:  benefit scheme Please note jobcoop provide an anonymous service to candidates but this can only be offered if you register or apply directly through the jobcoop site. If anonymity is not required then please feel free to apply through this job board,UK,,permanent,Jobco op Ltd,Other/General Jobs,cv-library.co.uk,45000
113,Res/Nursing Home Manager Glasgow ****k plus CQC bonus  Hamilton,"JOB TITLE: Home ManagerREPORTS TO: Operations Manager PROFESSIONAL REQUIREMENTS: PIN NMC REG Nurse either RMN or RGN plus HM exp. DUTIES AND RESPONSIBILITIES: To be responsible for the efficient day to day and long term management of the Home including all clinical, domestic/housekeeping, maintenance and kitchen functions To establish and operate the Home ensuring the well being of both residents and staff in line with the guidelines and general philosophy of the Company To organise and lead staff in the provision of a high standard of nursing care in accordance with medical prescription To attain agreed levels of turnover and profitability and to adhere to annual operating budgets Overall day to day management of the Home Implement procedures as laid down by the Company Recruit, appoint, train and regularly evaluate staff Oversee the efficiency of the duty rota prepared by the Unit/Care Managers Beware of and implement all procedures appertaining to the running of the Home as laid down in the National/Scottish Care Standards guidelines in particular: Admission and discharge procedures and dealing with deaths Financial affairs dealing with Social Services and private residents Health and Safety Fire Procedures Drug Control Infection Control Record Keeping Complaints Staff training and assessing professional competence Ensure that nursing practice is correct and carried out in accordance with the Code of Professional Conduct of the Nursing and Midwifery Council “NMC” Liaise with medical, other professionals, relatives and representatives of the local community in the promotion of good relationship Manager sales and marketing strategies in such a manner as to maximise occupancy and bed rates Budgetary control and provision of weekly management information, including occupancy, sales promotion, expense control and other related matters Carry out relief management in other Homes as required Carry out al duties in a safe manner having regard to health, safety and welfare of self, staff, service users and other persons visiting the Home Any other duties within the purview of the post",Hamilton,full_time,,Kare Plus Agencies Limited,Healthcare & Nursing Jobs,staffnurse.com,36500
114,Corporate Travel Consultant,"Corporate Travel Consultant, Up to ****k, London We have a fantastic new opportunity for a Corporate Travel Consultant to join a hip and trendy, dynamic and vibrant Travel Company based in cool London offices. The ideal candidate will have experience in booking complex itineraries for Corporate clients using a CRS system and personality is key Our client has a work hard and to have fun philosophy. They are looking for someone with a passion for travel and an ambition to succeed. Responsibilities of the Corporate Travel Consultant: Working in a busy office you will book flights, hotels, car hire, transfers or chauffeur services Issue and reissue tickets Working on mixed corporate accounts Account management Deliver exceptional customer service at all times Requirements for the Corporate Travel Consultant are: Knowledge of nett, published and Cat**** fares 2 years minimum Business Travel experience The ability to work in a dynamic team Excellent customer service and communication skills Experience of using any GDS is essential to the role Extrovert personality If you wish to apply for the role of Corporate Travel Consultant, please click the link below At Prospects****Corporate Travel we specialise in the sectors of Business Travel, Incentive Travel, Events, Venues, Hotels, and Travel Technology. We are very successful in placing people from Junior to Senior Management positions. If this position is not quite what you are looking for then please visit our website where you can register your CV and see all of our suitable vacancies. This job was originally posted as www.totaljobs.com/JobSeeking/CorporateTravelConsultant_job****",South East London,,permanent,Prospects4Corporate Travel,Travel Jobs,totaljobs.com,30000
